name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
深圳市海目星激光智能装备股份有限公司首次公开发行股票并在科创板上市, 2, 8, 中信证券股份有限公司, 中瑞世联资产评估（北京）有限公司, 北京市金杜律师事务所, 天健会计师事务所（特殊普通合伙）
江苏云涌电子科技股份有限公司, 5, 3.1876, 中联资产评估集团有限公司, 浙商证券股份有限公司, 中天运会计师事务所（特殊普通合伙）, 国浩律师（南京）事务所
埃夫特智能装备股份有限公司, 5, 13, 国信证券股份有限公司, 中水致远资产评估有限公司, 北京市竞天公诚律师事务所, 华普天健会计师事务所（特殊普通合伙）
广东富信科技股份有限公司, 1, 5.0291, 北京德和衡律师事务所, 中泰证券股份有限公司, 中审众环会计师事务所（特殊普通合伙）, 广东联信资产评估土地房地产估价有限公司
浙江海盐力源环保科技股份有限公司, 1, 3.5914, 中汇会计师事务所（特殊普通合伙）, 中信证券股份有限公司, 上海市锦天城律师事务所, 北京中天和资产评估有限公司
安徽元琛环保科技股份有限公司, 2, 3.25, 容诚会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 中水致远资产评估有限公司, 国元证券股份有限公司
奇安信科技集团股份有限公司, 2, 45, 北京金杜（成都）律师事务所, 中瑞世联资产评估集团有限公司, 中信建投证券股份有限公司, 北京中同华资产评估有限公司, 信永中和会计师事务所（特殊普通合伙）
北京博睿宏远数据科技股份有限公司, 3, 4.1335, 兴业证券股份有限公司, 北京市康达律师事务所, 立信会计师事务所（特殊普通合伙）, 北京中天华资产评估有限责任公司
上海复洁环保科技股份有限公司, 3, 5.0022, 坤元资产评估有限公司, 天健会计师事务所（特殊普通合伙）, 北京市大成律师事务所, 海通证券股份有限公司
威腾电气集团股份有限公司, 1, 4.0561, 江苏苏亚金诚会计师事务所（特殊普通合伙）, 中信证券股份有限公司, 上海市锦天城律师事务所, 江苏中企华中天资产评估有限公司
苏州昀冢电子科技股份有限公司, 1, 9.8528, 天衡会计师事务所（特殊普通合伙）, 华泰联合证券有限责任公司, 北京天健兴业资产评估有限公司, 上海市锦天城律师事务所
罗普特科技集团股份有限公司, 2, 6.7384, 北京国枫律师事务所, 中水致远资产评估有限公司, 容诚会计师事务所（特殊普通合伙）, 国金证券股份有限公司
上海海优威新材料股份有限公司, 2, 6, 北京国枫律师事务所, 容诚会计师事务所（特殊普通合伙）, 海通证券股份有限公司, 北京北方亚事资产评估事务所（特殊普通合伙）
恒玄科技（上海）股份有限公司, 2, 20, 上海市锦天城律师事务所, 中联资产评估集团有限公司, 立信会计师事务所（特殊普通合伙）, 中信建投证券股份有限公司
江苏富淼科技股份有限公司, 2, 6, 华泰联合证券有限责任公司, 北京市中伦文德律师事务所, 北京北方亚事资产评估事务所（特殊普通合伙）, 中汇会计师事务所（特殊普通合伙）
中科星图股份有限公司, 4, 7, 中信建投证券股份有限公司, 北京北方亚事资产评估事务所（特殊普通合伙）, 北京市君合律师事务所, 立信会计师事务所（特殊普通合伙）, 中京民信(北京)资产评估有限公司
中芯国际集成电路制造有限公司, 2, 200, 上海市锦天城律师事务所, 中国国际金融股份有限公司, 普华永道中天会计师事务所（特殊普通合伙）, 海通证券股份有限公司
西安瑞联新材料股份有限公司, 3, 10.5152, 中和资产评估有限公司, 上海市瑛明律师事务所, 立信会计师事务所（特殊普通合伙）, 海通证券股份有限公司
安徽壹石通材料科技股份有限公司首次公开发行股票并在科创板上市, 1, 3.6259, 天职国际会计师事务所（特殊普通合伙）, 中国国际金融股份有限公司, 北京德恒律师事务所, 沃克森（北京）国际资产评估有限公司
合肥芯碁微电子装备股份有限公司, 2, 4.7341, 容诚会计师事务所（特殊普通合伙）, 海通证券股份有限公司, 中水致远资产评估有限公司, 北京德恒律师事务所
杭州安杰思医学科技股份有限公司, 2, 3.8839, 坤元资产评估有限公司, 中信证券股份有限公司, 北京德恒律师事务所, 天健会计师事务所（特殊普通合伙）
赛赫智能设备（上海）股份有限公司, 2, 3.5192, 国元证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 上海众华资产评估有限公司, 北京市君合律师事务所
贵州白山云科技股份有限公司, 2, 8.43, 北京市金杜律师事务所, 中天国富证券有限公司, 北京中锋资产评估有限责任公司, 华普天健会计师事务所（特殊普通合伙）
广东利扬芯片测试股份有限公司, 2, 5.6285, 坤元资产评估有限公司, 北京德恒律师事务所, 天健会计师事务所（特殊普通合伙）, 东莞证券股份有限公司
成都纵横自动化技术股份有限公司, 2, 4.5086, 天健会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 开元资产评估有限公司, 国泰君安证券股份有限公司
深圳市燕麦科技股份有限公司, 5, 5.3821, 华泰联合证券有限责任公司, 广东信达律师事务所, 沃克森（北京）国际资产评估有限公司, 天健会计师事务所（特殊普通合伙）
山大地纬软件股份有限公司, 4, 3.7882, 北京市康达律师事务所, 民生证券股份有限公司, 中铭国际资产评估（北京）有限责任公司, 大华会计师事务所（特殊普通合伙）
湖南松井新材料股份有限公司, 5, 4.2218, 沃克森（北京）国际资产评估有限公司, 湖南启元律师事务所, 天职国际会计师事务所（特殊普通合伙）, 德邦证券股份有限公司
